Jar Name,SHA-1 Checksum,Preferred GAV Coordinates,Artifact Type,POM Included/Available,Location of Artifact
jbossall-client-5.1.0.GA.jar,9c4b36cdef517326ad7beaedfdf2d182085a1f65,<dependency><groupId>jboss</groupId><artifactId>jbossall-client</artifactId><version>5.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jbossall-client/5.1.0.GA/jbossall-client-5.1.0.GA.jar
jboss-ejb3-ext-api-1.0.0.jar,d0867591742acf4beeea0be9a2f91316690095c0,<dependency><groupId>jboss</groupId><artifactId>jboss-ejb3-ext-api</artifactId><version>1.0.0</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-ejb3-ext-api/1.0.0/jboss-ejb3-ext-api-1.0.0.jar
pmd-3.9.jar,b6148e32a7966387d7318ad9c9f39ca85c80b306,<dependency><groupId>pmd</groupId><artifactId>pmd</artifactId><version>3.9</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/pmd/pmd/3.9/pmd-3.9.jar
svntask-1.0.7.jar,781a822bb7d9b4b6174f40f7ebe4e63884251d96,<dependency><groupId>com.googlecode</groupId><artifactId>svntask</artifactId><version>1.0.7</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/com.googlecode/svntask/1.0.7/svntask-1.0.7.jar
clm-4.2.beta_jboss51-fix.jar,2ccf3bc27d0cf90f8aae00b3ad760c37b5583207,<dependency><groupId>ncicb</groupId><artifactId>clm</artifactId><version>4.2.beta_jboss51-fix</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/ncicb/clm/4.2.beta_jboss51-fix/clm-4.2.beta_jboss51-fix.jar
oscache-2.4.1.jar,41360a9850e50916cb7449a49f4e048e10898859,<dependency><groupId>opensymphony</groupId><artifactId>oscache</artifactId><version>2.4.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/opensymphony/oscache/2.4.1/oscache-2.4.1.jar
displaytag-1.1.1.jar,daa3b6e18e8cbeb7024b9fc6814ed82f3e31ddbc,<dependency><groupId>org.displaytag</groupId><artifactId>displaytag</artifactId><version>1.1.1</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/org.displaytag/displaytag/1.1.1/displaytag-1.1.1.jar
urlrewrite-2.6.0.jar,4f7bd5d66ea8721b27b5762ac3671ce1ea8f67a6,<dependency><groupId>org.tuckey</groupId><artifactId>urlrewrite</artifactId><version>2.6.0</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/org.tuckey/urlrewrite/2.6.0/urlrewrite-2.6.0.jar
axis-1.4.2_10.jar,cffd0dec625d7000e68c576bd0130e2a86aa956a,<dependency><groupId>apache</groupId><artifactId>axis</artifactId><version>1.4.2_10</version></dependency>,Jar,N,http://gforge.nci.nih.gov/svnroot/commonlibrary/trunk/ivy-repo/apache/axis/1.4.2_10/axis-1.4.2_10.jar
jboss-system-jmx-client-5.1.0.GA.jar,590e6158b430b05b28672f4a3024171e5af6e767,<dependency><groupId>jboss</groupId><artifactId>jboss-system-jmx-client</artifactId><version>5.1.0.GA</version></dependency>,Jar,N,/Users/asy/work/caArray/svn/trunk/software/ivy-repo.tmp/jboss/jboss-system-jmx-client/5.1.0.GA/jboss-system-jmx-client-5.1.0.GA.jar
